"时间","下次更新","排名","分数","播放","传播","喜好","畅销","推荐"
"1.690161e+12","2023.07.24 09:35","137","15.43","34.20","0.00","0.66","59.43","0.53"
"1.690161e+12","2023.07.24 09:35","137","15.43","34.20","0.00","0.66","59.43","0.53"
"1690164600000","2023.07.24 10:35","141","16.27","35.10","0.00","0.82","60.85","0.72"
"1690165800000","2023.07.24 10:55","143","16.58","35.42","0.00","0.83","61.47","0.75"
"1690167600000","2023.07.24 11:25","143","16.99","35.83","0.00","0.93","62.20","0.79"
"1690168200000","2023.07.24 11:35","146","17.11","35.98","0.00","0.96","62.39","0.79"
"1690168800000","2023.07.24 11:45","148","17.20","36.04","0.00","0.96","62.53","0.87"
"1.69017e+12","2023.07.24 12:05","139","18.66","36.25","0.00","1.00","68.64","0.94"
"1690171200000","2023.07.24 12:25","134","19.45","36.48","0.00","1.01","71.63","0.94"
"1690171800000","2023.07.24 12:35","135","19.56","36.61","0.00","1.05","71.77","0.94"
"1690172400000","2023.07.24 12:45","136","19.62","36.69","0.00","1.06","71.81","0.94"
"1.690173e+12","2023.07.24 12:55","137","19.72","36.79","0.00","1.08","71.97","0.94"
"1690174800000","2023.07.24 13:25","138","19.98","37.05","0.00","1.15","72.42","0.94"
"1690175400000","2023.07.24 13:35","140","20.06","37.13","0.00","1.16","72.53","0.94"
"1.690176e+12","2023.07.24 13:45","140","20.15","37.22","0.00","1.20","72.64","0.94"
"1690177200000","2023.07.24 14:05","140","20.32","37.37","0.00","1.32","72.93","0.94"
"1690178400000","2023.07.24 14:25","154","20.45","37.54","0.00","1.36","73.03","0.94"
"1690179600000","2023.07.24 14:45","167","20.58","37.67","0.00","1.37","73.24","0.94"
"1690180800000","2023.07.24 15:05","168","20.72","37.82","0.00","1.41","73.36","0.98"
"1.690182e+12","2023.07.24 15:25","170","20.83","37.94","0.00","1.47","73.51","0.98"
"1690182600000","2023.07.24 15:35","170","20.88","37.99","0.00","1.50","73.56","0.98"
"1690183200000","2023.07.24 15:45","171","20.93","38.04","0.00","1.54","73.63","0.98"
"1690183800000","2023.07.24 15:55","173","21.00","38.10","0.00","1.59","73.73","0.98"
"1690185600000","2023.07.24 16:25","172","21.12","38.21","0.00","1.63","73.92","0.98"
"1690186800000","2023.07.24 16:45","177","21.21","38.30","0.00","1.67","74.02","1.02"
"1690187400000","2023.07.24 16:55","177","21.28","38.35","0.00","1.72","74.14","1.02"
"1690189200000","2023.07.24 17:25","177","21.44","38.48","0.00","1.85","74.38","1.04"
"1690189800000","2023.07.24 17:35","180","21.49","38.52","0.00","1.86","74.50","1.04"
"1690190400000","2023.07.24 17:45","180","21.56","38.58","0.00","1.87","74.64","1.04"
"1690191600000","2023.07.24 18:05","181","21.65","38.66","0.00","1.93","74.73","1.04"
"1690192800000","2023.07.24 18:25","183","21.74","38.74","0.00","1.96","74.91","1.04"
"1.690194e+12","2023.07.24 18:45","185","21.83","38.83","0.00","2.02","75.01","1.04"
"1.690194e+12","2023.07.24 18:45","185","21.83","38.83","0.00","2.02","75.01","1.04"
"1690194600000","2023.07.24 18:55","187","21.91","38.91","0.00","2.09","75.10","1.04"
"1690195800000","2023.07.24 19:15","190","22.02","38.99","0.00","2.15","75.32","1.04"
"1.690197e+12","2023.07.24 19:35","191","22.07","39.04","0.00","2.26","75.35","1.04"
"1690197600000","2023.07.24 19:45","191","22.11","39.07","0.00","2.31","75.39","1.06"
"1690198800000","2023.07.24 20:05","192","22.21","39.16","0.00","2.34","75.52","1.06"
"1690200600000","2023.07.24 20:35","194","22.37","39.29","0.00","2.35","75.73","1.16"
"1690202400000","2023.07.24 21:05","197","22.48","39.40","0.00","2.38","75.83","1.18"
"1690203600000","2023.07.24 21:25","200","22.59","39.48","0.00","2.44","76.07","1.18"
"1690204800000","2023.07.24 21:45","201","22.66","39.56","0.00","2.47","76.13","1.18"
"1690205400000","2023.07.24 21:55","201","22.75","39.60","0.10","2.55","76.22","1.18"
"1690207200000","2023.07.24 22:25","204","22.83","39.70","0.10","2.57","76.30","1.20"
"1690208400000","2023.07.24 22:45","206","22.95","39.78","0.10","2.65","76.48","1.21"
"1690209600000","2023.07.24 23:05","207","23.03","39.84","0.10","2.76","76.59","1.21"
"1690210800000","2023.07.24 23:25","209","23.08","39.88","0.10","2.82","76.66","1.21"
"1690211400000","2023.07.24 23:35","210","23.11","39.90","0.10","2.82","76.71","1.21"
"1.690212e+12","2023.07.24 23:45","210","23.14","39.92","0.10","2.83","76.79","1.21"
"1690213200000","2023.07.25 00:05","211","23.18","39.95","0.10","2.87","76.82","1.21"
"1690214400000","2023.07.25 00:25","213","23.22","40.00","0.10","2.88","76.90","1.21"
"1690215600000","2023.07.25 00:45","214","23.28","40.05","0.10","2.93","76.95","1.23"
"1690216800000","2023.07.25 01:05","216","23.32","40.10","0.10","2.93","76.98","1.23"
"1.690218e+12","2023.07.25 01:25","216","23.36","40.14","0.10","2.93","77.01","1.23"
"1690218600000","2023.07.25 01:35","218","23.37","40.16","0.10","2.94","77.03","1.23"
"1690219200000","2023.07.25 01:45","218","23.39","40.18","0.10","2.94","77.04","1.23"
"1690220400000","2023.07.25 02:05","218","23.42","40.21","0.10","2.96","77.08","1.23"
"1690221600000","2023.07.25 02:25","218","23.45","40.24","0.10","3.00","77.09","1.23"
"1690222800000","2023.07.25 02:45","218","23.46","40.26","0.10","3.00","77.09","1.23"
"1.690224e+12","2023.07.25 03:05","218","23.54","40.29","0.10","3.00","77.15","1.36"
"1690224600000","2023.07.25 03:15","218","23.57","40.33","0.10","3.04","77.17","1.36"
"1690225200000","2023.07.25 03:25","218","23.58","40.34","0.10","3.07","77.17","1.36"
"1690226400000","2023.07.25 03:45","218","23.59","40.34","0.10","3.07","77.18","1.36"
"1.690227e+12","2023.07.25 03:55","218","23.61","40.36","0.10","3.09","77.19","1.36"
"1690228800000","2023.07.25 04:25","218","23.62","40.38","0.10","3.12","77.19","1.36"
"1690229400000","2023.07.25 04:35","218","23.63","40.39","0.10","3.12","77.19","1.36"
"1.69023e+12","2023.07.25 04:45","221","23.63","40.40","0.10","3.12","77.19","1.36"
"1690231200000","2023.07.25 05:05","222","23.64","40.41","0.10","3.12","77.19","1.36"
"1690232400000","2023.07.25 05:25","222","23.65","40.42","0.10","3.12","77.19","1.36"
"1.690233e+12","2023.07.25 05:35","222","23.65","40.43","0.10","3.12","77.19","1.36"
"1690233600000","2023.07.25 05:45","222","23.66","40.43","0.10","3.12","77.19","1.36"
"1690234800000","2023.07.25 06:05","222","23.69","40.44","0.10","3.15","77.30","1.36"
"1.690236e+12","2023.07.25 06:25","222","23.70","40.45","0.10","3.15","77.30","1.36"
"1690236600000","2023.07.25 06:35","222","23.70","40.46","0.10","3.15","77.30","1.36"
"1690237200000","2023.07.25 06:45","222","23.71","40.46","0.10","3.15","77.30","1.36"
"1690238400000","2023.07.25 07:05","222","23.74","40.47","0.10","3.15","77.42","1.36"
"1690239600000","2023.07.25 07:25","222","23.75","40.48","0.10","3.15","77.44","1.36"
"1690240200000","2023.07.25 07:35","222","23.75","40.48","0.10","3.15","77.44","1.36"
"1690240800000","2023.07.25 07:45","222","23.77","40.50","0.10","3.15","77.46","1.36"
"1.690242e+12","2023.07.25 08:05","222","23.81","40.55","0.10","3.16","77.49","1.36"
"1690245600000","2023.07.25 09:05","232","23.97","40.75","0.10","3.25","77.56","1.36"
"1690250400000","2023.07.25 10:25","233","24.18","41.01","0.10","3.33","77.67","1.36"
"1690252800000","2023.07.25 11:05","233","24.31","41.15","0.10","3.36","77.77","1.39"
"1690253400000","2023.07.25 11:15","233","24.37","41.18","0.10","3.37","77.93","1.39"
"1690254600000","2023.07.25 11:35","238","24.42","41.22","0.10","3.44","77.98","1.39"
"1690258200000","2023.07.25 12:35","239","24.60","41.37","0.10","3.60","78.17","1.41"
"1690261800000","2023.07.25 13:35","241","24.72","41.48","0.10","3.62","78.35","1.43"
"1.690266e+12","2023.07.25 14:45","243","24.88","41.62","0.10","3.67","78.57","1.45"
